Name,EcoScore,Countries,Category_1,Category_2,Category_3,Category_4,Category_5,Category_6,Category_7,Category_8,Category_9,Category_10,Category_11,Category_12,Category_13,Category_14,Category_15,Category_16,Category_17
Blanc saveur zeste de citron vert,,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins aromatisés,,,,,,,,,,,,,
Vin,,['en:france'],Boissons,Boissons alcoolisées,Vins,,,,,,,,,,,,,,
Vin Blanc,37,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins blancs,,,,,,,,,,,,,
Pommery Champagne,23,"['en:france', 'en:switzerland']",Boissons,Boissons alcoolisées,Vins,Vins effervescents,Champagnes,,,,,,,,,,,,
Vin rouge,27,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins rouges,,,,,,,,,,,,,
Champagne Blue Top Brut,45,"['en:france', 'en:germany', 'en:united-kingdom']",Boissons,Boissons alcoolisées,Vins,Vins français,Vins effervescents,Champagnes,Champagnes français,Champagnes bruts,,,,,,,,,
Rosé pamplemousse,47,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins rosés,,,,,,,,,,,,,
Monbazillac Sélection d'automne,34,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Monbazillac,,,,,,,,,,,,
Vin blanc,37,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins blancs,,,,,,,,,,,,,
Gewurztraminer 2012,45,"['en:france', 'en:germany']",Boissons,Boissons alcoolisées,Vins,Vins français,Vins blancs,Vin d'Alsace,Gewurtzraminer,Gewurztraminer,,,,,,,,,
Melograno e arancia,28,"['en:france', 'en:italy']",Aliments et boissons à base de végétaux,Boissons,Boissons alcoolisées,Vins,Boissons à base de végétaux,Boissons aux fruits,Vins effervescents,Pétillant de fruits,,,,,,,,,
Trappe - Fromage affiné en Périgord,32,['en:france'],Boissons,Boissons alcoolisées,Produits laitiers,Produits fermentés,Produits laitiers fermentés,Vins,Fromages,Fromages de vache,Vins français,Fromages de France,Fromages pasteurisés,Fromages d'abbaye,Fromages aux noix,Périgord,,,
Rosé pamplemousse,38,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins rosés,Vins aromatisés,,,,,,,,,,,,
Bordeaux AOC 2011 Bio Large Malartic,58,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges,Bordeaux,Vin rouge bio,,,,,,,,,,
Rosé d'Anjou,42,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Rosé d'Anjou,,,,,,,,,,,,
Pétillant de Listel Framboise,,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins effervescents,Vins pétillant,,,,,,,,,,,,
"Champagne AOP, brut",36,"['en:australia', 'en:france']",Boissons,Boissons alcoolisées,Vins,Vins effervescents,Champagnes,Champagnes bruts,,,,,,,,,,,
Monbazillac A.O.C. 2017,32,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Monbazillac,,,,,,,,,,,,
Côtes du Rhône - &quot;les Pierrasques&quot;,36,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Côtes du Rhône,,,,,,,,,,,,
Champagne Ruinart,23,"['en:france', 'en:united-kingdom']",Boissons,Boissons alcoolisées,Vins,Vins effervescents,Champagnes,,,,,,,,,,,,
20458072,45,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Côtes du Rhône,,,,,,,,,,,,
Boulaouane gris,38,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins rosés,,,,,,,,,,,,,
Muscat de Rivesaltes,47,"['en:belgium', 'en:france']",Boissons,Boissons alcoolisées,Vins,Vins mutés,Vins doux,Vins mutés de type vin doux naturel,Muscats,Muscat de Rivesaltes,,,,,,,,,
Solar 6,58,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins blancs,IGP CÉVENNES,,,,,,,,,,,
Bon rouge,37,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Buzet,,,,,,,,,,,,
Vieux Papes,26,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins rouges,Vins de table,,,,,,,,,,,,
Les cepages du golfe,30,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins rosés,,,,,,,,,,,,,
2015 Valtier Reserva,22,"['en:france', 'en:germany']",Boissons,Boissons alcoolisées,Vins,Vins rouges,,,,,,,,,,,,,
Vin blanc sec,28,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins blancs,Vins blancs secs,,,,,,,,,,,,
Bordeaux rouge Bio 2012,59,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges,en:bordeaux,,,,,,,,,,,
Cépage Muscat Blanc,39,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins mutés,Vins doux,Vins mutés de type vin doux naturel,Vins effervescents,Muscats,Vins mousseux,Vins mousseux doux,,,,,,,
Bordeaux 2018,60,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Bordeaux,,,,,,,,,,,,
Muscat de Frontignan,48,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins mutés,Vins doux,Vins mutés de type vin doux naturel,Vins français,Muscats,Muscat de Frontignan,,,,,,,,
Nicolas Feuillatte Champagne,33,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins effervescents,Champagnes,en:Boissons,en:Boissons alcoolisées,en:Champagnes bruts,en:Vins,en:Vins effervescents,,,,,,,
Sangria,20,"['en:france', 'en:germany']",Boissons,Boissons alcoolisées,Vins,Boissons alcoolisées pré-mélangées,Boissons alcoolisées à base de vin,Boissons à base de vin,Vins espagnols,Sangria,de:Weinmixgetränk,,,,,,,,
Vin Blanc Sans Alcool Bonne Nouvelle,,['en:france'],Boissons,Boissons alcoolisées,Vins,Boissons sans alcool,Vins sans alcool,,,,,,,,,,,,
La Chanterelle Vin blanc de Dordogne,45,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins blancs,Côtes de Bergerac,Vins moelleux,,,,,,,,,,
