Name,EcoScore,Category_1,Category_2,Category_3,Category_4,Category_5
Cabernet d'Anjou A.O.C. - Bag-in-Box®,37.0,Boissons,Boissons alcoolisées,Vins,Vins français,Cabernet d'Anjou
Ultima Laude,60.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins blancs
Cabernet Sauvignon Merlot,45.0,Boissons,Boissons alcoolisées,Vins,Vins français,
Domaine des radoubs MEDITERRANNÉE,,Boissons,Boissons alcoolisées,Vins,,
Saumur Champigny,44.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges
Champagne Blanc de blancs,45.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins blancs
75CL Bordeaux Blanc Moelleux,45.0,Boissons,Boissons alcoolisées,Vins,Vins français,Bordeaux
Muscat de rivesaltes,35.0,Boissons,Boissons alcoolisées,Vins,Vins mutés,Vins doux
Vin rosé Île de Beauté,38.0,Boissons,Boissons alcoolisées,Vins,Vins rosés,
Merlot Pays d'Oc,31.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges
Crémant de Bourgogne brut,43.0,Boissons,Boissons alcoolisées,Vins,Vins français,Bourgogne
Cubi de vin d'Ardèche,45.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges
Rose D'anjou Roches Linieres 11,32.0,Boissons,Boissons alcoolisées,Vins,Vins français,Rosé d'Anjou
Vin blanc CE 11° vol.,36.0,Boissons,Boissons alcoolisées,Vins,Vins blancs,
Clairette de Die doux,60.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins effervescents
Faugères - Mas Olivier,45.0,Boissons,Boissons alcoolisées,Vins,Vins français,
Bourgogne 2015,43.0,Boissons,Boissons alcoolisées,Vins,Vins français,Bourgogne
Minuty Côtes de Provence,31.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges
Champagne Brut Grande Reserve,23.0,Boissons,Boissons alcoolisées,Vins,Vins effervescents,Champagnes
BOURGOGNE ALIGOTE,43.0,Boissons,Boissons alcoolisées,Vins,Vins français,Bourgogne
Beaujolais,35.0,Boissons,Boissons alcoolisées,Vins,Vins rouges,
"Pineau Des Charentes Rosé Reynac, 17°, Bouteille De",45.0,Boissons,Boissons alcoolisées,Vins,Vins mutés,Vins français
Côtes du Rhône bio A.O.C. 2017,47.0,Boissons,Boissons alcoolisées,Vins,Vins français,Côtes du Rhône
vin cote du rhone,47.0,Boissons,Boissons alcoolisées,Vins,Vins français,Côtes du Rhône
Vin blanc sec - La dose culinaire,28.0,Boissons,Boissons alcoolisées,Vins,Vins blancs,
